summary,text,predicted_summary
"A woman, who was arrested twice last week for trying to jump the White House fence, has been arrested for the third time for scaling a fence at the Treasury Building, next to the White House. The woman, who told officers that she wanted to speak to President Donald Trump, has been charged with unlawful entry and contempt of court.","Washington, Mar 27 (PTI) A 38-year-old woman in the US, who was apprehended twice for allegedly trying to jump the White House fence last week, has been arrested for scaling a fence at the Treasury Building. Marci Anderson Wahl of Everett, Washington, was arrested after an alarm sounded at about 2:15 am yesterday when she scaled a fence at the Treasury Building, next to the White House. Police said Wahl has told them she was there to speak to US President Donald Trump, the CNN reported. She was charged with unlawful entry and contempt of court. Wahl was first arrested on March 21 last week for trying to jump the White House fence. Once in custody, it was determined that Wahl had been issued a ""stay away"" order for the White House complex after the incident. On March 21, officers saw Wahl walking and staring at the White House complex before discovering she had jumped a fence on the south side but got stuck. Officers found her hanging from the inside of the fence by her shoelaces, which were ""caught on top of the fence,"" according to a police report. She was re-arrested on March 24 after officers saw her near Lafayette Park. She was released on her own recognisance after a Saturday court appearance. In the incident, Wahl was charged with contempt of court in violation of a stay away order. She pleaded not guilty last Saturday and was again released on her own recognisance. ","A 38-year-old woman in the US, who was arrested for allegedly trying to jump the White House fence, has been arrested for scaling a fence at the Treasury Building. The woman was arrested after an alarm sounded at about 2:15 am yesterday when she scaled a fence at the building. She was charged with unlawful entry and contempt of court."
A tea stall in Gujarat's Vadnagar railway station where PM Narendra Modi used to sell tea during his childhood is set to become a tourist spot. Union Culture Minister Mahesh Sharma visited the place on Sunday and said the tea stall will be developed as a part of a ?100-crore project to develop Vadnagar and surrounding areas as tourist destinations. ,"The tea stall in Guajarat's Vadnagar where Prime Minister Narendra Modi once sold tea during his childhood is all set to become a tourist spot with the Centre deciding to give it a face-lift. The stall is located on one of the platforms of the Vadnagar Railway station. Converting the stall into a tourist spot is part of a larger project of putting Modi's birthplace Vadnagar in Mehsana district of Gujarat on the world tourism map. Officials of the Ministry of Culture and Tourism and Archaeological Survey of India (ASI) visited the town yesterday. The team of officials was led by Union Culture Mahesh Sharma, who later announced that the original charm of the tea stall will be preserved while giving it a modern touch. ""Apart from being the birthplace of our PM, Vadnagar is an important historical centre having famous Sharmishta Lake and a step-well. The ASI had recently found remains of a Buddhist Monastery during excavation, which is still going on,"" Sharma told reporters at Gandhinagar yesterday. PRESERVING THE ORIGINAL CHARM Ahead of the 2014 Lok Sabha elections, Modi had often mentioned that he used to sell tea during his childhood at the Vadnagar railway station along with his father. ""Inside the Vadnagar railway station, there is a small tea stall, from where our PM had probably started his life's journey. We also want to develop that tea stall as a tourism spot. We will try to preserve the original charm of the tea stall while giving it a modern touch. Our aim is to put Vadnagar on world tourism map,"" Sharma said. Earlier, Divisional Railway Manager (DRM) of Ahmedabad division Dinesh Kumar had said the entire project of developing Vadnagar and adjoining places in Mehsana district would cost over Rs 100 crore. ""The development of Vadnagar railway station is one of the components of the Rs 100 crore project to develop Vadnagar, Modhera and Patan as tourist destinations. As of now, the Ministry of Tourism has given Rs eight crore to the state Tourism Department to develop the railway station,"" Kumar had said. ","The tea stall in Guajarat's Vadnagar, where Prime Minister Narendra Modi once sold tea during his childhood, is set to become a tourist spot. The stall is located on one of the platforms of the Vadnagar Railway station. ""We will try to preserve the original charm of the tea stall while giving it a modern touch. Our aim is to put Vadnagar on world tourism map,"" said the official."
"US President Barack Obama has declared January 16 as Religious Freedom Day in accordance with a yearly tradition. Urging his countrymen to stand against religious intolerance, Obama said, ""religious freedom is a principle based not on shared ancestry, culture, ethnicity, or faith but on a shared commitment to liberty."" He further said that America's strength comes from its diversity.","Continuing a yearly tradition, outgoing US President Barack Obama signed a proclamation to declare January 16 Religious Freedom Day. ""Religious freedom is a principle based not on shared ancestry, culture, ethnicity, or faith but on a shared commitment to liberty - and it lies at the very heart of who we are as Americans,"" Obama said on Friday.Each year, by Presidential Proclamation, January 16 is declared Religious Freedom Day in the US.Obama urged the country's citizens to reject politics that seeks to target people because of their religion.""Part of being American means guarding against bigotry and speaking out on behalf of others, no matter their background or belief - whether they are wearing a hijab or a baseball cap, a yarmulke or a cowboy hat,"" he said.The president said America's strength comes from its diversity.""And we must be unified in our commitment to protecting the freedoms of conscience and religious belief and the freedom to live our lives according to them,"" he said.""Brave men and women of faith have challenged our conscience and brought us closer to our founding ideals, from the abolition of slavery to the expansion of civil rights and workers' rights. And throughout our history, faith communities have helped uphold these values by joining in efforts to help those in need -- rallying in the face of tragedy and providing care or shelter in times of disaster,"" the US President said.Obama rued that in 2015, nearly 20 percent of hate crime victims in America were targeted because of religious bias.""That is unacceptable -- and as Americans, we have an obligation to do better. If we are to defend religious freedom, we must remember that when any religious group is targeted, we all have a responsibility to speak up,"" he said.","Outgoing US President Barack Obama signed a proclamation to declare January 16 Religious Freedom Day. ""Religious freedom is a principle based not on shared ancestry, culture, ethnicity, or faith but on a shared commitment to liberty - and it lies at the very heart of who we are as Americans,"" Obama said."
"The Supreme Court on Thursday rejected a petition seeking a stay on the release of Madhur Bhandarkar's directorial 'Indu Sarkar'. The court noted that the film is an artistic expression within the parameters of law. The petition was filed by Priya Singh Paul, who claimed to be the daughter of Sanjay Gandhi and was alleging that the movie is derogatory.","The Supreme Court on Thursday rejected a petition seeking a stay on release of director Madhur Bhandarkar?s next, Indu Sarkar. Dismissing the petition, a bench of justices including, Dipak Misra, Amitav Roy and AM Khanwilkar, said the movie is an artistic expression within the parameters of law.The movie, which releases on Friday, deals with the controversial subject of Emergency imposed in 1975 by former Prime Minister Indira Gandhi. The petition filed by Priya Singh Paul, who cliams to be the daughter of Sanjay Gandhi, alleges the movie is ?full of concocted facts and is totally derogatory?.On July 24, the Bombay High Court had dismissed the petition saying no ?known descendant? of Sanjay Gandhi has objected to the movie.The Court said that the petitioner had not made out any case for the court to interfere and stay the release of the movie after the Central Board of Film Certification (CBFC) granted certificate to the film.Priya, in her petition, has claimed that Sanjay Gandhi was her biological father and the movie points fingers at him. Sanjay Gandhi?s widow, Maneka Gandhi, and their son, Varun, are BJP leaders and they have not commented on the issue. Follow @htshowbiz for more","The Supreme Court on Thursday rejected a petition seeking a stay on release of Madhur Bhandarkar's next, Indu Sarkar. Dismissing the petition, a bench of justices including, Dipak Misra, Amitav Roy and AM Khanwilkar said the movie is an artistic expression within the parameters of law. The petition filed by Priya Singh Paul alleges the movie is ""full of concocted facts and is totally derogatory""."
"Congress leader Captain Amarinder Singh will take oath as the Chief Minister of Punjab on March 16, after he led his party to victory in the Punjab elections, winning 77 of 117 seats. Stating that Prime Minister Narendra Modi had talked to him after the election results, Singh said PM Modi promised to help him with the state.","Captain Amarinder Singh, the Congress's Chief Minister designate, will take oath as CM on March 16. The swearing-in ceremony will take place in Chandigarh on Thursday at 10 AM.""A few cabinet members will also take their oath of office along with me,"" Amarinder said, refusing to say who will be inducted as ministers. Amarinder - accompanied by some senior Congress leaders - on Sunday went to Raj Bhawan to meet Punjab Governor V P Singh Badnore and formally staked his claim to form the next government in the state.The Governor congratulated Amarinder on the Congress' victory and has formally invited him to form the next government in the state. RAHUL GANDHI PROPOSES AMARINDER'S NAME AS CLP LEADEREarlier, Captain Amarinder Singh, who is the president of the Punjab Pradesh Congress Committee (PPCC), was unanimously elected the new leader of the Congress Legislative Party (CLP) in Punjab.Rahul Gandhi had proposed his name as the new CLP leader. ""The election of Captain Amarinder as the CLP leader took place at the Congress Bhawan, where all the newly elected MLAs passed a one-line resolution authorizing AICC president Sonia Gandhi and vice president Rahul Gandhi to take a decision on the new CLP leader. I called up Rahul to apprise him of the CLP decision. The Congress MLAs then unanimously elected Captain Amarinder as their leader by a show of hands,"" AICC secretary in-charge of Punjab affairs, Asha Kumari said. Apart from Asha Kumari, other AICC leaders present at the CLP meeting were Ashok Gehlot (head of the Congress screening committee for Punjab elections) and Harish Chaudhary (AICC secretary). At the meeting, outgoing CLP leader Charanjit Singh Channi read out a statement thanking the people of Punjab for their stupendous support in the just concluded state assembly elections.PUNJAB GOVERNOR DISSOLVES ASSEMBLY Meanwhile, with Captain Amarinder set to take over from the Shiromani Akali Dal's Parkash Singh Badal, Punjab Governor VP Singh Badnore dissolved the state Assembly today. Here's the announcement.  ","A few cabinet members will also take their oath of office along with him, he said. ""A few cabinet members will also take their oath of office along with me,"" he added. The Congress Legislative Party (CLP) leader, who is the president of the Punjab Pradesh Congress Committee, will take oath as CM on March 16."
"Television actress Kamya Punjabi has claimed in a tweet that hackers removed a 'backless' picture of hers from Instagram. In the picture, Kamya can be seen posing with a lipstick to promote the film 'Lipstick Under My Burkha'. She tweeted, ""Never posted something I never believed in. Never took off something that I once posted... Happy hacking!""n","Kamya Panjabi, much like her colleagues in the television industry, extended her support to Ekta Kapoor?s Lipstick Under My Burkha, on social media. She posted a bare back picture and captioned it: ?They Said that don?t be that woman ?The that other woman..the divorced woman .. the single mother woman .. But I am that woman ..Every time I put in my lipstick on, I smile. because I am being true to myself . Whether the world agrees or not I have made my own don?t.. Don?t you??However, after a few hours, the  picture was deleted from her account and that led to speculation that she?s backed out from the campaign for the film and that she changed her mind about the bold photo. To end all doubt, Kamya took to Twitter to reveal that her account was hacked and the hacker  deleted the photo, as till date she has never removed any posts from her account. As per sources, she will take the help of police to find out about the hacker.As per Kamya, this is the photo that  the hacker removed from her account.Kamya gave out details about what happened. ?Open the app. Picture has been removed. News articles claiming my unsure mind led to impulsive upload of nudity and hence took it off. Never posted something I never believed in. Never took off something I once posted. Wore my heart and scares on my sleeves with pride. Happy hacking happy hating.? She even put a hastag, ?I know you know my password?. When contacted, the actor said that she has already given out all the details on Twitter and doesn?t want to talk more about this.I did not take off a bare piece of clothing off my back. I bared the innermost corners of my soul...!!! #iknowUknowmypassword ?#instagram pic.twitter.com/OnDyM7Oj9q? Kamya Punjabi (@iamkamyapunjabi) July 10, 2017This is not the first time an actor?s account on the photo sharing app has been hacked. Early this year, Nia Sharma?s Instagram account was hacked and she had reported it to the cyber cell. In Bollywood, actors such as Amitabh Bachchan, Shahid Kapoor, Hrithik Roshan, Karan Johar and Shruti Haasan also faced the same thing.    Dinner with my winner....!!!! A post shared by Kamya Panjabi (@panjabikamya) on Feb 10, 2017 at 11:12am PST Kamya, currently seen as Preeto in Shakti - Astitva Ke Ehsaas Ki, is reportedly  in a relationship with Bigg Boss season 10 winner Manveer Gurjar. She recently posted a photo with Manveer and captioned it: ?very special someone?. For those who are not in the know, Kamya met Manveer on Bigg Boss when she was invited as a guest. Kamya praised him and even predicted that he might take the trophy home.Follow @htshowbiz for more","Actress Kamya Panjabi has revealed that her Instagram account was hacked and the hacker deleted the picture. She added, ""Every time I put in my lipstick on, I smile. because I am being true to myself."" Kamya further said that she has never removed any posts from her account."
"Souvenirs based on veteran actor Dilip Kumar's films were auctioned for over ?8 lakh. The highest bid was for a souvenir based on Dilip's 1967 film Ram Aur Shyam while a 12-sheeter teaser of Kranti (1981) was auctioned for ?3 lakh. Other souvenirs which were auctioned included an Aamir Khan poster, depicting him as Mangal Pandey. ","Mumbai, Jun 25 (PTI) Memorabilia related to cinema legend Dilip Kumar sold big at an auction here with watercolours, mixed media, portraits and collage showcard artworks of the Mughal-e-Azam topping the list of favourite items of the collectors. Dilip Kumars rare set of an original watercolour, mixed media and collage showcard artworks of ""Ram Aur Shyam"" that saw the actor in a first double role, sold for Rs. 3.36 lakh at Osians The Greatest Indian Show On Earth 2 - Vintage Film Memorabilia, Publicity Materials & Arts Auction on June 22. A unique 12-sheeter teaser of ""Kranti"" went for Rs 3 lakh. Mehboob Khans ""Andaz"" hoarding with Raj Kapoor-Dilip Kumar-Nargis portraits went under the hammer for Rs 1.20 lakh. A rare set of six original mixed-media collage artworks of Dilip Kumars ""Mela"" sold for Rs 48,000. ""Aan"" stills, a set of four, sold for Rs 52,800. Sepia-toned photographic stills of Sohrab Modis ""Sikender"" mounted on lobby cards sold for Rs 78,000. A ""Kal Aaj Aur Kal"" six-sheet poster of three generations of the Kapoor family sold for Rs 54,400 while a ""Bobby"" golden jubilee trophy sold for Rs 74,400. ""The value of film memorabilia is there till the time technology replaced hand-painted posters and showcards with printed ones. If we had not placed credible financial value on these related objects of our film culture, the desire to preserve, love and respect our cinematic heritage would have been much more difficult to emerge,"" said Neville Tuli, chairman of the The Osians Group. ","Film memorabilia related to Bollywood legend Dilip Kumar sold for?3.36 lakh at an auction in Mumbai on June 22. A rare set of an original watercolour, mixed media, portraits and collage showcard artworks of ""Ram Aur Shyam"" that saw the actor in a first double role, sold for?3.36 lakh. ""The value of film memorabilia is there till the time technology replaced hand-painted posters and showcards with printed ones,"" said the auctioneer."
"The Delhi government has approved ?54.84 crore for construction of the longest skywalk in the city, that will connect Tilak Marg railway station to ITO Metro station. ""There are over 25 offices at ITO, besides two Metro stations. The heavy traffic volume and crowd makes it an accident-prone area for pedestrians,"" explained a PWD official. ","The Delhi government has sanctioned Rs 54.84 crore for the construction of a skywalk at ITO. With the two Metro stations and a railway line and major traffic crossings within one km, the Public Works Department (PWD) wants to have the longest skywalk of the capital at ITO. It will connect offices and entry/exit points of Metro stations. Read: Delhi roads not safe for pedestrians, finds study?There are over 25 offices at ITO, besides two Metro stations, the Tilak Bridge railway station and seven major arterial roads. The heavy traffic volume and crowd makes it an accident-prone area for pedestrians,? said PWD official, explaining the need for the skywalk.  ?Because of the new Metro station at ITO, the crowd at the junction has gone up,? said a PWD official.Currently, there is only one foot overbridge on the Vikas Marg in front of the ITO building. Recently, the Delhi Metro Rail Corporation (DMRC) constructed a subway, allowing pedestrians to cross Vikas Marg, BSZ Marg and the DDU Marg. However, there is no foot overbridge or subway at the Pragati Maidan Metro station crossing putting lives at risk. PWD said one foot overbridge (FOB) should connect the footpath of Sikandra Road (towards Tilak Marg) to the parking lot near Pragati Maidan Metro station across Mathura Road. The deck of this overbridge could be linked to the proposed structure being constructed by the DMRC near Pragati Maidan Metro Station. One ramp may also be provided for access to Tilak Marg footpath near Supreme Court.Read: Kejriwal says no more odd-even in Delhi, focus now on public transport system?Another FOB may start at the point on the Railway Lane (College Lane) near the Tilak Bridge Railway Station and may be connected to the first FOB at under the Metro viaduct. The third FOB may connect the footpath of DDU Marg to the lane near the drain on the other side of the Bahadur?Shah Zafar Marg,? the official said.Besides, the government has also sanctioned Rs 25.16 crore for repair of Ring Road from Mayapuri flyover to Punjabi Bagh flyover.","The Delhi government has sanctioned?54.84 crore for the construction of a skywalk at ITO. The skywalk will connect offices and entry/exit points of Metro stations. There are over 25 offices at ITO, besides two Metro stations, the Tilak Bridge railway station and seven major arterial roads."
"Drug peddlers are coating biscuits and nut crackers with Lysergic acid diethylamide (LSD) drug to avoid being caught at airports, Task Force officials said. ""These biscuits were detected and seized only because the peddlers were carrying another drug, which was detected in the scanning machine,"" an officer said. This was revealed after Task Force arrested nine people carrying LSD-laced biscuits.","Believe it or not, eatables laced with LSD are the emerging modus operandi followed by drug peddlers across the country, agencies dealing against narcotics claimed. Be it biscuits or nut crackers, drug peddlers are lacing them with LSD and selling them at higher price.The revelation came days after Task Force sleuths arrested nine people, including two Nigerians, in two separate cases at Masab Tank and Banjara Hills in Hyderabad. Along with 300 grams of cocaine, 42 grams of MDMA and three biscuits laced with LSD were recovered.According to sources, during interrogation, they told police that to save themselves from being caught at the airport, they started coating LSD on eatables such as biscuits and nut crackers. They further told police that this is not the first time they have laced eatables with LSD. ""Most of the drugs, especially LSD, coming from Germany to India are being coated on eatables,"" they reportedly confessed.LSD LACED EATABLESThe officers said that earlier LSD-laced sugar cubes were seized, but this is the first time drugs in biscuits were found. ""These biscuits were detected and seized only because the peddlers were carrying another drug as well, which was detected in the scanning machine,"" an officer involved in the investigation said.After recording the confessional statement, the inputs were shared with the narcotics department. Also, security agencies at the airports, including CISF, have been alerted about the new modus operandiSpeaking to Mail Today, a senior officer of the narcotics department said, ""It is very difficult to identify adultered eatables and eatables laced with LSD. But officers scanning passengers' luggage at the airport have been asked to keep tight vigil on eatables in their bags. Not only this, but they have been advised to check biscuits or nut crackers if they are in small quantity.""Sources also said peddlers - mostly from African countries - have been carrying small consignments which they hide between the clothes or in false cavities in their bags.""They also carry nut cracker packets in their hand bags to avoid suspicion. They keep the seal open and tend to eat some of them to fool security officers. Those arrested hid the eatables laced with LSD in a small false cavity inside the packet to fool the officers,"" a source said, quoting one of the confessional statements.Meanwhile, preliminary interrogation and analysis of cell phone data of the peddlers revealed they might have sold drugs to more than 100 people in the last one and half years.""Most buyers are young, especially college students,"" said an officer in the Task Force. In a separate case, West Zone Task Force arrested three people and seized 11 LSD bots and three cell phones. The accused are P Revanth, Irfan Najeeb Khan and Zain Khan.","Drug peddlers are lacing biscuits and nut crackers with LSD and selling them at higher price, reports said. The revelation came after Task Force sleuths arrested nine people, including two Nigerians, in two separate cases at Masab Tank and Banjara Hills in Hyderabad."
"Delhi Chief Minister Arvind Kejriwal has received two death threats on his official e-mail, according to the Delhi Police. They also added that the Delhi government has approached Police Commissioner Alok Verma, who then directed the Crime Branch to investigate the matter. Police have been verifying the alleged death threat to the Delhi CM, reports claimed.","Delhi Police are examining two ?life threat emails? sent to Delhi?s chief minister Arvind Kejriwal on his official email address between Tuesday and Wednesday, allegedly by an anonymous person. The emails were forwarded to the Delhi Police by the chief minister?s office, police said. A crime branch team led by joint commissioner of police (crime) Ravindra Yadav has been tasked to examine the contents of the threat emails and identify the sender as well as the alleged suspects whose names and mobile numbers have been mentioned in the email, said a Delhi Police spokesperson. Read more: Arvind Kejriwal, brother-in-law accused of corruption; Delhi Police launch probePolice sources said the emails claimed that Kejriwal might be attacked by a group of five to six persons during election campaign in poll-bound areas in Punjab or Goa. According to the source, the emails contain names and contact numbers of the five-six persons, who according to the sender of the emails will allegedly ?kill? Kejriwal. Read: Delhi hackers, digital shoplifters who tampered data of e-commerce portalsRavindra Yadav confirmed they had received a letter from the chief minister?s office and the forwarded emails that mentioned names and numbers of people who allegedly want to kill the chief minister. ?We are in the process of verifying the information. Action will be taken accordingly,? Yadav said. No FIR was filed till the filing of this report. Read: Kejriwal is like a handpump-- four feet above ground and 120 feet below: SidhuRead: AIIMS admits in high court its laser machine is not working for long","Delhi Police are examining two 'life threat emails' sent to Delhi's Chief Minister Arvind Kejriwal on his official email address between Tuesday and Wednesday, allegedly by an anonymous person. The emails claimed that Kejriwal might be attacked by a group of five to six persons during election campaign in poll-bound areas in Punjab or Goa."
